C_BCI,G_BCI,C_Breast,G_Breast,C_Diabetes,G_Diabetes,C_Liver,G_Liver
39.589,0.93022,44.085,1.0118,22.045,0.30607,31.239,1.286
5,1.0736,6,0.70391,40,0.63972,38,1.3604
