C_BCI,G_BCI,C_Breast,G_Breast,C_Diabetes,G_Diabetes,C_Liver,G_Liver,Iterations,C1,C2,SwarmSize
238.45,0.025962,9.7038,0.00002333,2.677,5.30E-06,73.446,0.000012121,300,2.6,1.5,50
6,0.34641,3,0.4813,40,2.8317,53,4.4452,300,2.6,1.5,50
