C_BCI,G_BCI,C_Breast,G_Breast,C_Diabetes,G_Diabetes,C_Liver,G_Liver,Iterations,C1,C2,Size
139.58,0.11817,0,0,0,0,0,0,50,2.6,1.5,20
20,1.9336,0,0,0,0,0,0,50,2.6,1.5,20
