C_BCI,G_BCI,C_Breast,G_Breast,C_Diabetes,G_Diabetes,C_Liver,G_Liver,Iterations,C1,C2,Size
114.59,0.038703,0,0,0,0,0,0,50,2.6,1.5,20
0,0,0,0,0,0,0,0,50,2.6,1.5,20
